OperatorInfo;UsageTypeTitle;AddressInfo/Title;AddressInfo1;AddressInfo2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;ConnectionType;ConnectionAmps;ConnectionVoltage;ConnectionPowerKW
Tesla Motors (Worldwide);Public - Notice Required;Sercotel Ciutat d'Alcoi;Colon;;38698013;-480614;1;Tesla (Model S onwards);32;230;7
Tesla Motors (Worldwide);Public - Notice Required;Sercotel Ciutat de Montcada;Carrer de Verdi;;41495572;218038;1;Tesla (Model S onwards);32;230;7
POLAR (UK);Public - Membership Required;Real Club de Golf la Herrerí­a-Crta. Robledo Chavela S/N;Real Club de Golf la Herrerí­a-Crta. Robledo Chavela S/N;;4058078;-415873;2;Mennekes (Type 2);32;230;7
POLAR (UK);Public - Membership Required;Plaza de Calvo Sotelo 5;Plaza de Calvo Sotelo 5;;41039425;-3642411;2;Mennekes (Type 2);32;400;22
EasyCharger;Public - Membership Required;Nacex Salamanca;Calle Vertical 4Âª;Polí­gono Industrial El Montalvo;4.09381E+14;-5.65604E+14;8;CHAdeMO;125;400;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Nissan Divensa Merida;Polí­gono Industrial Cepansa, Distrito 6;Polí­gono Industrial Cepansa;3.89045E+14;-6.36409E+14;1;CHAdeMO;125;500;50
IBIL (Es);Public - Membership Required;Macanaz;Paseo de la Ribera;;4.16602E+14;-8.80693E+14;1;CHAdeMO;100;480;50
EasyCharger;Public - Pay At Location;A62 Salida 142;VA-VP-5804;;4.15416E+14;-4.89648E+14;8;CCS (Type 2 Version of Combined Coupler);125;400;50
(Unknown Operator);Public - Notice Required;CastellonSuits.com;Plaza del Notario Mas 22;;399880463;-411383;6;Tesla (Model S onwards);32;400;22
(Unknown Operator);Public - Pay At Location;ESSR les Alegries.;Avinguda de les Alegrí­es 89-91;Can Roviralta;4.17136E+14;2.83138E+14;1;CHAdeMO;;;50
EDP;Public - Pay At Location;Estacion de Servicio Avia;Calle 8. Poligono Industrial Guadamia;;4.34356E+14;-5.01454E+14;1;CHAdeMO;;;50
(Unknown Operator);Public;Area de Servei Vila-Sana;Autovia A-2. Km 486;;4.1643E+14;8.94855E+14;1;CHAdeMO;;;50
EDP;Public;Avenida de los Picos de Europa;Avenida de los Picos de Europa;;4335258395;-5.12533E+14;1;CHAdeMO;;;50
Iberdrola;Public;Urartea 23. Vitoria;Urartea 23;;4.28635E+14;-2.71236E+14;1;CCS (Type 2 Version of Combined Coupler);;;50
(Unknown Operator);Private - For Staff, Visitors or Customers;hotel port aventura;Carretera Tarragona - Salou;Cap Salou;4.10839E+14;1.15481E+14;2;Mennekes (Type 2. Tethered Connector);;;22
POLAR (UK);Public - Membership Required;BMW Group Geb. 77.0;BMW Group Geb. 77.0;;48191479;11570391;1;CCS (Type 2 Version of Combined Coupler);;;50
Tesla Motors (Worldwide);Public - Notice Required;Casino Admiral Sevilla;Obra Casino Admiral;;37372215;-6037036;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Ibis Styles Pamplona Noain;Calle Real;;42764893;-1633657;1;Tesla (Model S onwards);32;400;22
(Unknown Operator);Public;Segorbe;Avenida Fray Luis amigo 14;;398473525;-4892091;1;CCS (Type 2 Version of Combined Coupler);;;50
Fenie Energí­a (Spain);Public;Carrer Filá  Alcodianos B;Carrer Filá  Alcodianos B;Centro;3.87103E+13;-4.62583E+14;3;CHAdeMO;;;50
(Unknown Operator);Public - Membership Required;Carrer Salvador Espriu;Carrer Salvador Espriu;Sant Pere i Sant Pau;4.11208E+15;1.272E+15;2;CHAdeMO;125;400;50
(Unknown Operator);Public;PDR Castelló d'Empuries;Carreró del Palau;;4.22581E+14;3.07429E+14;2;Mennekes (Type 2);;;22
(Unknown Operator);Public - Pay At Location;Gasolwin Balones;Ronda Sur;;3.88093E+14;-6.09188E+14;2;CHAdeMO;120;400;50
(Unknown Operator);Public - Pay At Location;Gasolwin Textil;Avenida del Textil 78;;3.88303E+14;-5.75773E+14;2;CHAdeMO;120;400;50
(Unknown Operator);Public;CM-220;CM-220;;3.95505E+14;-1.90196E+14;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;Avinguda de Roses;Avinguda de Roses;Vilatenim;4.22676E+14;2.99008E+14;2;CHAdeMO;80;;55
(Unknown Operator);Public;pdr empuribrava;Carrer Requesens;Empuriabrava;4.22451E+15;3.12419E+15;2;Mennekes (Type 2);;;22
(Business Owner at Location);Public - Pay At Location;Estació de servei Ramell AlcarrÃ s AS 24H;L-800 Carretera de Vallmanya C-157;;4.15761E+14;5.17009E+14;2;CHAdeMO;125;400;50
(Unknown Operator);Public - Membership Required;Edrr Mont-roig del camp;Avinguda del Mar;Miami Playa;4.10101E+14;9.38556E+14;2;CHAdeMO;125;400;50
(Unknown Operator);Public - Membership Required;Petrem Trucks;Avinguda d'Ã€lguema;;4.22311E+14;2.95632E+14;2;CHAdeMO;;;50
(Unknown Operator);Public;Petrem Figueres;Avinguda Vilallonga;Vilatenim;4.22667E+14;2.97321E+13;2;CHAdeMO;;;50
AMB (Ã€rea metropolitana de Barcelona);Public - Membership Required;Edrr plaza creu de la ma;Carrer Nou;Vilatenim;4.22599E+16;2.96671E+16;2;CHAdeMO;;;50
AMB (Ã€rea metropolitana de Barcelona);Public - Membership Required;EdRR PlaÃ§a de Josep Tarradellas;PlaÃ§a de Josep Tarradellas;Vilatenim;4.2269E+15;2.96685E+15;2;CHAdeMO;80;400;55
Tesla Motors (Worldwide);Public - Membership Required;My Car Wash Madrid Canillas;Calle de Canillas;;40441895;-3674985;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hemingway Casa Rural Kanala;Hemingway Casa Rural Kanala;;4338577;-2678814;1;Tesla (Model S onwards);;;9
Tesla Motors (Worldwide);Public - Membership Required;One Ocean Club;Moll de la Barceloneta;;41380261;2186361;2;Tesla (Model S onwards);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;nissan nikko center;Carretera Tarragona - Salou;Torreforta;4.11151E+14;1.21844E+16;1;CHAdeMO;;;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Magic Robin hood;Carrer Paradies;;3.8565E+16;-8.59285E+15;1;CEE 7/4 - Schuko - Type F;;230;3
(Unknown Operator);Public - Membership Required;My recarga abalat dels sorells;Carrer del Pare Salvador Mollá;;3.95444E+14;-3.46823E+14;2;Mennekes (Type 2);;;22
(Unknown Operator);Public;PdRR aldaia;PlaÃ§a de la Consitució;;3.9465E+14;-4.60588E+14;3;CHAdeMO;;;50
(Unknown Operator);Public - Membership Required;PlaÃ§a de Josep Umbert Ventura;PlaÃ§a de Josep Umbert Ventura;;4.16889E+14;2.1643E+14;2;Mennekes (Type 2);32;400;22
(Unknown Operator);Public;Ikea Sabadell;C-58LD;;4.15105E+14;2.10589E+14;22;Mennekes (Type 2);16;230;3.75
(Unknown Operator);Public;Aldi sabadell;Carretera de Barcelona;;4.15346E+14;2.11197E+13;2;CEE 7/4 - Schuko - Type F;;230;3
Tesla Motors (Worldwide);Public - Membership Required;Hotel Maisonnave;Hotel Maisonnave;;42817386;-1645072;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Casas Rurales el Viejo Establo;Paraje la Matanza;;3814407;-1072401;1;Tesla (Model S onwards);16;400;11
(Unknown Operator);Public - Pay At Location;Complejo Tudanca Easy Charger;Carretera Madrid A1 km 134;;41622981;-36871568;3;CHAdeMO;125;500;50
(Unknown Operator);Public - Pay At Location;Parking Primo de Rivera;Avda. General Primo d eRivera, 13;;3.94724E+16;-6.37886E+15;9;Mennekes (Type 2);32;230;7.36
Iberdrola;Public - Pay At Location;Trio Iberdrola;Avinguda de la ConcÃ²rdia;Ca n'Ustrell;4.15589E+14;2.09648E+14;2;CHAdeMO;;;
POLAR (UK);Public - Membership Required;Hotel-Restaurante el Molino. Carretera Madrid-Irun;Hotel;;42651615;-3084218;2;Mennekes (Type 2);32;400;22
(Unknown Operator);Public - Membership Required;Edrr Calafell;Carretera del Sanatori;29;4.11901E+14;1.56815E+14;1;CHAdeMO;;;50
(Unknown Operator);Public - Pay At Location;BP Nissan Satra;Avenida Valencia;223;3.99645E+15;-6.38777E+15;1;CHAdeMO;110;400;50
(Unknown Operator);Public - Membership Required;EdRR segur de calafell;C-31;;4.11927E+13;1.60379E+14;2;CHAdeMO;;400;50
AMB (Ã€rea metropolitana de Barcelona);Public - Membership Required;Sortida Aparcament C.C Sant Cugat;Sortida Aparcament C.C Sant Cugat;Can Vasconcel;4.14827E+14;2.05133E+14;1;CHAdeMO;125;400;50
AMB (Ã€rea metropolitana de Barcelona);Public - Membership Required;EdRR Sant Cugat;Avigunda de la via Augusta;;4.14827E+14;2.05134E+14;2;CHAdeMO;125;400;50
(Business Owner at Location);Public;Ayuntamiento de utiel;Av. del Deporte, 14;;3.95726E+14;-1.21093E+14;1;CHAdeMO;120;400;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Santi Enrique Nissan Barberá del Vallés;Carretera de Barcelona;;4.15142E+14;2.1282E+14;1;CHAdeMO;;;50
(Business Owner at Location);Public - Pay At Location;Gasolinera Coopelec;Carr. Tabernes Chiva, 11. 46610 Guadasuar, Valencia, EspaÃ±a;;3.91812E+15;-4.76511E+15;3;Mennekes (Type 2);32;400;22
AMB (Ã€rea metropolitana de Barcelona);Public - Membership Required;EdRR AMB Barbera del valles;Carrer d'Arquimedes;6;4.15108E+14;2.13271E+14;4;CHAdeMO;;;50
(Unknown Operator);Public;Pdr espai tolra;Carrer de Portugal;Airesol C;4.1609E+14;2.08528E+14;2;Mennekes (Type 2);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Spa Vilavella;Hotel Spa Vilavella;;42038277;-7016485;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Barcelo Caceres V Centenario;Manuel Pacheco;;39473875;-6398395;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Restaurante Cocinandos;Plaza de San Marcos;;42601971;-558136;1;Tesla (Model S onwards);;;14
Tesla Motors (Worldwide);Public - Membership Required;H10 Punta Negra;C/ Punta Negra;;39527597;2552744;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Morada Da Moa;Carretera General Cee - Carnota;;42893194;-9134705;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;B&B Hotel Mollet;Avenida Rabassaires;;41541727;2222785;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Cimbel;Avenida Europa;;38536044;-120739;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;H10 Art Gallery;Enric Granados;;41392123;2157059;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel Catalonia Reina Victoria Wellness & Spa;Calle Jerez;;36746889;-5169294;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Bodegas la Rioja Alta;Av. Vizcaya;;42584482;-2846937;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Y Casas Can Bassa;Carretera de la Pera;;41989807;2958141;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Hotel Alga;Avenida Joan Pericot I Garcia;;4189169;3184338;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Parador de Soria;Parador de Soria;;41762577;-2457695;1;Tesla (Model S onwards);;;6
Tesla Motors (Worldwide);Public - Membership Required;La Posada del Buen Camino;Calle de la Cruz;;41354917;-576976;1;Tesla (Model S onwards);;;8
Tesla Motors (Worldwide);Public - Membership Required;Hotel H10 Estepona Palace;Av. del Carmen;;3641735;-5172977;1;Tesla (Model S onwards);32;400;22
Iberdrola;Public - Membership Required;E.S. Adenor Canet D'en Berenguer;Avinguda Mediterrani, 16;Canet d'en Berenguer;3.96792E+14;-2.17188E+14;1;CHAdeMO;120;400;50
Fenie EnergÃ­a (Spain);Public - Membership Required;Centro de Exposiciones Y Congresos Lienzo Norte (toma Mennekes Temporalmente Fuera de Servicio);Centro de Exposiciones Y Congresos Lienzo Norte (toma Mennekes Temporalmente Fuera de Servicio);;40659927;-4705191;1;Mennekes (Type 2);32;230;7
(Business Owner at Location);Public - Notice Required;Ingema SL;PolÃ­gono Industrial;;3.9365E+14;-5.40476E+14;3;Mennekes (Type 2);32;400;22
POLAR (UK);Public - Membership Required;Hotel Ciudad Arcóbriga-AutovÃ­a del Nordeste;Hotel Ciudad Arcóbriga-AutovÃ­a del Nordeste;;4130785;-2122392;2;Mennekes (Type 2);32;400;22
POLAR (UK);Public - Membership Required;Hotel Mavi-Av. de la Cabrera;Hotel Mavi-Av. de la Cabrera;;40855923;-3612783;2;Mennekes (Type 2);32;400;22
EDP;Public - Membership Required;E.S. Adenor-Cudillero (EDP-AVIA);Carretera Nacional 632. km.123.7;;4.35548E+14;-6.16648E+14;1;CHAdeMO;;;50
(Unknown Operator);Public;EdRR Tortosa;Avinguda de la Generalitat, 72;;408076215;5.20071E+15;1;CHAdeMO;;;50
(Unknown Operator);Public - Membership Required;Aparcament Edifici Estació;Carrer de Salmerón, 9;;4.15646E+14;2.01961E+14;2;Mennekes (Type 2);;;
(Unknown Operator);Private - For Staff, Visitors or Customers;Hotel Don Candido;Rambleta del Pare Alegre, 98;;4.15525E+15;2.00834E+15;4;Mennekes (Type 2);;;
(Unknown Operator);Public;PDR terrassa plaza;Carrer de Navarra;Ca n'Anglada;4.15635E+15;2.03553E+16;8;CEE 7/4 - Schuko - Type F;;;
(Unknown Operator);Public - Notice Required;Aparcament Sant Leopold;Carrer de Sant Leopold, 33;;4.15671E+15;2.0129E+16;6;CEE 7/4 - Schuko - Type F;;;
(Unknown Operator);Public - Notice Required;Aparcament Progrés;PlaÃ§a del Progrés, 1;Ca n'Aurell;4.15605E+14;2.00596E+14;4;CEE 7/4 - Schuko - Type F;;;
(Unknown Operator);Private - Restricted Access;Ajuntament de Terrassa;PlaÃ§a de l'Ajuntament, 1;;4.15633E+14;2.01043E+14;1;Unknown;;;
EDP;Public;E.S. Tapia de Casariego - Avia (Adenor);Calle Parc. 18;;4.35619E+15;-6.92312E+14;1;CHAdeMO;;;50
(Unknown Operator);Public - Membership Required;EdRR VandellÃ²s i l'Hospitalet de l'Infant;Carretera de Móra, 5. L'Hospitalet de l'Infant;;409919174;9.21468E+14;4;CHAdeMO;;;50
Iberdrola;Public;E. S. Adenor Murrieta I - AVIA;Avenida de Burgos 49;;424614755;-2.46957E+14;1;CHAdeMO;;;50
Iberdrola;Public;E. S. Lopez Araquistain Navajas - AVIA;Bebricio 71;;423062815;-1.97134E+14;1;CHAdeMO;;;50
Iberdrola;Public;E. S. Zona  Auto Tudela -AVIA;Corella, 10;;420633118;-1.61655E+14;1;CHAdeMO;;;50
(Unknown Operator);Privately Owned - Notice Required;NISSAN NIPOR MOTOR;C/ Beatriz NuÃ±ez S/N;;3.78137E+16;-3.78548E+16;1;CHAdeMO;;;50
(Unknown Operator);Public - Membership Required;EdRR Montblanc;Muralla de Santa Tecla 51;;413773855;1.1636E+14;1;CHAdeMO;;;50
(Unknown Operator);Public;EdRR PuigcerdÃ ;CamÃ­ d'Age 21;;424271041;1.92953E+14;1;CHAdeMO;;;50
(Unknown Operator);Public;Parc de Malatosquer;Madrid 220;;421675341;2.47319E+14;1;CHAdeMO;;;50
POLAR (UK);Public - Membership Required;Hotel la Atalaya-Cargacoches. AutovÃ­a del Este;Hotel la Atalaya-Cargacoches. AutovÃ­a del Este;;40120106;-3152257;1;CCS (Type 2 Version of Combined Coupler);;;50
Fenie EnergÃ­a (Spain);Public - Membership Required;Parking del Hotel Palm Beach;Parking del Hotel Palm Beach;;28068698;-16731848;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Benidorm;Ayuntamiento Benidorm;;38539398;-135502;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Parking Concesionario Joaquin Oliva Tarragona;Parking Concesionario Joaquin Oliva Tarragona;;41129955;1199614;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Benidorm;Avd Mediteraneo 42 03503;;38536305;-115612;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Jaime Signes S.L.;PlaÃ§a Nova;;38775141;85907;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Pol. Ind. el Castellar Carrer Societat Unió Musical;Pol. Ind. el Castellar Carrer Societat Unió Musical;;38691062;-496264;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Pol. Ind. Cotes Baixes- Carrer A;Pol. Ind. Cotes Baixes- Carrer A;;38712048;-459171;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Pol. Ind. Santiago Payá;Pol. Ind. Santiago Payá;;38684878;-490719;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Boadilla del Monte - Recinto ferial;Ctra. Boadilla A Villaviciosa;;40401317;-3879808;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Beniflá;Carrer Carril;Beniflá;38927859;-189774;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Beniarjo;Vicente Camarena CP: 46722;;38934986;-188993;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Apartamentos Parque del Mar;Carrer d'es Cadafet;;39362488;3228819;1;Mennekes (Type 2);32;230;7
POLAR (UK);Public - Membership Required;280 Hotel-AutovÃ­a A2 PK 280;280 Hotel-AutovÃ­a A2 PK 280;;41516109;-1289305;2;Mennekes (Type 2);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Casa Rural Mas Roselló;Cami Mas Palli;;4184603;3070962;1;Tesla (Model S onwards);;;9
Tesla Motors (Worldwide);Public - Membership Required;Hotel Echaurren Relais & Chateaux;Calle Padre Jose Garcia;;42325623;-301466;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Arturo Soria Plaza;Calle Arturo Soria;;40450133;-3651345;2;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Hotel Spa Terraza;Avgda. de Rhode;;42265609;3167589;1;Tesla (Model S onwards);;;5
Tesla Motors (Worldwide);Public - Membership Required;Celler Can Torrens;Celler Can Torrens;;41513255;2233708;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Zielo Shopping Pozuelo;Avenida de Europa;;40441629;-3783134;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Thader;Av. Juan de Borbon;;38032573;-1148853;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel W Barcelona / Parking Novabocana;PlaÃ§a de la Rosa Dels Vents;;41368544;2188275;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Artea;Barrio Peruri;;43342139;-2990694;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Catalonia Diagonal Centro;Carrer de Balmes;;41393861;2156727;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Assaona Gastrobeach Club Mallorca;Paseo de Portixol;;3956098;266671;1;Tesla (Model S onwards);;;6
Tesla Motors (Worldwide);Public - Membership Required;Sha Wellness Clinic;Calle Verderol;;38559818;-7438;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Supermercados Costablanca;CamÃ­ de la Mar;;38579178;-93634;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Fuengirola Supercharger;Avenida del Higueron 48;;36580783;-4595893;8;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Membership Required;Aparcamientos Ubeda;Plaza Andalucia;;38011117;-3371597;2;Tesla (Model S onwards);32;230;7
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Arenas de Barcelona;Gran Via de les Corts Catalanes;;41376469;2150236;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Villa Magalean Hotel & Spa;Nafarroa-Behera Kalea;;43362397;-178918;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Altafulla Mar Hotel;Via Augusta;;41135535;1377477;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Hotel Izan Puerta de Gredos;Carretera de los Llanos;;40339884;-552046;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Imaginalia Centro de Ocio Y Comercio;Imaginalia Centro de Ocio Y Comercio;;39008583;-1879056;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial el Saler;Av. del Profesor Lopez Pinero;;39453745;-354222;2;Tesla (Model S onwards);32;230;7
Tesla Motors (Worldwide);Public - Notice Required;Aparthotel Biosostenible Jardin del Rio Cuervo;Barrio los Demetrios;;4044743;-1948429;1;Tesla (Model S onwards);;;17
Tesla Motors (Worldwide);Public - Membership Required;Atalaya del CaÃ±avate Supercharger;KM. 175 Autovia A-3;;39538678;-2254568;10;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Membership Required;Monte Holiday Ecoturismo;Finca el Tercio Nuevo;;40949537;-3729742;1;Tesla (Model S onwards);16;400;11
POLAR (UK);Public - Membership Required;Hotel Restaurante la Cadiera-A-2;Hotel Restaurante la Cadiera;;41311279;-2002042;2;Mennekes (Type 2);32;400;22
POLAR (UK);Public - Membership Required;Hotel Restaurante el Aral-A-2 KM 197;Hotel Restaurante el Aral;;41313148;-2002961;2;Mennekes (Type 2);32;400;22
(Unknown Operator);;Iberdrola - AVIA Estella;Calle Carlos VII, 16;;4.26644E+14;-2.03266E+14;1;CHAdeMO;125;400;50
(Business Owner at Location);Private - For Staff, Visitors or Customers;Mercadona Avenida CataluÃ±a Zaragoza;Avenida CataluÃ±a, 101;;4.16637E+14;-8.61798E+13;1;Mennekes (Type 2. Tethered Connector);32;400;22
(Business Owner at Location);Private - For Staff, Visitors or Customers;Mas Blanch i Jové;Pol. 9. Parc. 129. Paratge Llinars;;41365762;909483;2;Mennekes (Type 2. Tethered Connector);32;400;21
IBIL (Es);Public - Membership Required;Ibil Camino de las Torres;Camino de las Torres, 4;;416475691;-8.7269E+14;1;Mennekes (Type 2);32;230;7
(Unknown Operator);Private - For Staff, Visitors or Customers;ALDI XÃ bia;Carrer Bolonia;;3.87872E+14;1.74569E+14;3;Mennekes (Type 2);;230;3.4
(Business Owner at Location);Public - Pay At Location;EV Charger Odissea Park Aparhotel ****;carrer del Pla de la Torre;Aparthotel Odissea Park;4.16344E+14;2.72081E+14;0;Mennekes (Type 2);32;44;44
IBIL (Es);Public - Membership Required;Ibil Plaza de Toros Zaragoza;Glorieta José Aznárez;;4.16546E+14;-8.9072E+14;2;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Tossa de Mar;Av. Pelegri 19 17320;;41720512;2929038;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Public - Pay At Location;Petromiralles Igualada Les comes;Guimaraes 2;;41588905;16218929;2;Mennekes (Type 2);32;230;7.36
POLAR (UK);Public - Membership Required;Hotel Beatriz Toledo Auditorium & Spa Calle Concilios de Toledo;Hotel Beatriz Toledo Auditorium & Spa Calle Concilios de Toledo;;39878956;-4041705;2;Mennekes (Type 2);32;230;7
IBIL (Es);Public - Membership Required;Calle Santiago Ramón y Cajal;Calle Santiago Ramón y Cajal;San Pablo;4.1652E+14;-8.86618E+14;2;Mennekes (Type 2);32;230;7.4
POLAR (UK);Public - Membership Required;Hotel Venta Juanilla;Hotel Venta Juanilla;;41193665;-358307;1;CCS (Type 2 Version of Combined Coupler);;;50
;Public - Membership Required;Hotel Venta Juanilla;Hotel Venta Juanilla;;41193665;-358307;1;CCS (Type 2 Version of Combined Coupler);;;50
IBIL (Es);Public - Membership Required;Ibil Doctor Fleming;Calle Doctor Fleming;;4.16511E+14;-8.8966E+13;1;Mennekes (Type 2);32;230;7.4
(Business Owner at Location);Public;Ben Comun Espazo;Praza Torre Lombarda;;421879301;-78040453;2;Mennekes (Type 2);32;230;7.3
Fenie EnergÃ­a (Spain);Public - Membership Required;Instalaciones Boned-Braco;Ronda de la Industria S/NÂº la Magantina 22006;;42148193;-408408;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Estación de Servicio OlÃ­mpica;Estación de Servicio OlÃ­mpica;;4034266;-3814133;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Public;HI-30. 4. Timijarafe;HI-30. 4. Timijarafe, Villa de Valverde;;277747254;-179095915;2;Mennekes (Type 2);;;
Fenie EnergÃ­a (Spain);Public - Membership Required;Citroen Cirmauto;Carretera Zaragoza, KM 3;;42788186;-1637319;1;Mennekes (Type 2);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Yoy Villa de Sallent;Av. de los Pirineos;;42775294;-361528;1;Tesla (Model S onwards);32;230;14
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Sexta Avenida;Avenida de la Victoria;;40467567;-381407;2;Tesla (Model S onwards);16;400;11
