OperatorInfo/Title,OperatorsReference,UsageTypeID,UsageType/IsPayAtLocation,UsageType/IsMembershipRequired,UsageType/IsAccessKeyRequired,UsageType/ID,UsageType/Title,UsageCost,AddressInfo/ID,AddressInfo/Title,AddressInfo/AddressLine1,AddressInfo/AddressLine2,AddressInfo/Town,AddressInfo/StateOrProvince,AddressInfo/Postcode,AddressInfo/CountryID,AddressInfo/Country/ISOCode,AddressInfo/Country/ContinentCode,AddressInfo/Country/ID,AddressInfo/Country/Title,AddressInfo/Latitude,AddressInfo/Longitude,AddressInfo/ContactTelephone1,AddressInfo/ContactTelephone2,AddressInfo/ContactEmail,AddressInfo/AccessComments,AddressInfo/RelatedURL,AddressInfo/Distance,AddressInfo/DistanceUnit,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,StatusType/IsOperational,StatusType/IsUserSelectable,StatusType/ID,StatusType/Title,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,SubmissionStatus/IsLive,SubmissionStatus/ID,SubmissionStatus/Title,UserComments/0,PercentageSimilarity,Connections/0/ID,Connections/0/ConnectionTypeID,Connections/0/ConnectionType/FormalName,Connections/0/ConnectionType/IsDiscontinued,Connections/0/ConnectionType/IsObsolete,Connections/0/ConnectionType/ID,Connections/0/ConnectionType/Title,Connections/0/Reference,Connections/0/StatusTypeID,Connections/0/StatusType/IsOperational,Connections/0/StatusType/IsUserSelectable,Connections/0/StatusType/ID,Connections/0/StatusType/Title,Connections/0/LevelID,Connections/0/Level/Comments,Connections/0/Level/IsFastChargeCapable,Connections/0/Level/ID,Connections/0/Level/Title,Connections/0/Amps,Connections/0/Voltage,Connections/0/PowerKW,Connections/0/CurrentTypeID,Connections/0/CurrentType/Description
Tesla Motors (Worldwide),48991,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118388,Veritas,Av Josep Verges I Mata,,Palafrugell,,17200,210,ES,EU,210,Spain,41.912141,3.169558, +34 972 30 61 27,,,,,,0,1,"1 Tesla Connector, up to 22kW.Available for customers. Self park.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:19:00Z,1,2019-03-14T23:19:00Z,200,TRUE,200,Submission Published,,,167061,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),49279,7,FALSE,FALSE,FALSE,7,Public - Notice Required,,118355,Sercotel Ciutat d'Alcoi,Colon,,Alcoi,Alacant,3802,210,ES,EU,210,Spain,38.698013,-0.480614, +34 965 33 36 06,,,,,,0,1,"1 Tesla Connector, up to 7kW.Available by reservation only. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:14:00Z,1,2019-03-14T23:14:00Z,200,TRUE,200,Submission Published,,,167028,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,230,7,10,Alternating Current - Single Phase
Tesla Motors (Worldwide),49312,7,FALSE,FALSE,FALSE,7,Public - Notice Required,,118345,Sercotel Ciutat de Montcada,Carrer de Verdi,,Montcada i Reixach,Barcelona,8110,210,ES,EU,210,Spain,41.495572,2.18038, +34935 664 132,,,,,,0,1,"1 Tesla Connector, up to 7kW.Available by reservation only. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-03-14T23:11:00Z,1,2019-03-14T23:11:00Z,200,TRUE,200,Submission Published,,,167018,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,230,7,10,Alternating Current - Single Phase
POLAR (UK),4983,4,FALSE,TRUE,TRUE,4,Public - Membership Required,Inclusive; for Polar Plus subscription members only,118253,Real Club de Golf la Herrería-Crta. Robledo Chavela S/N,Real Club de Golf la Herrería-Crta. Robledo Chavela S/N,,San Lorenzo de El Escorial,San Lorenzo de El Escorial,28 200,210,ES,EU,210,Spain,40.58078,-4.15873,,,,,,,0,2,Aparcamiento Real Club de Golf La Herreria. Uso exclusivo para clientes,,,50,TRUE,TRUE,50,Operational,2019-03-10T06:13:00Z,1,2019-03-10T06:13:00Z,200,TRUE,200,Submission Published,,,166882,25,IEC 62196-2 Type 2,FALSE,FALSE,25,Mennekes (Type 2),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,230,7,10,Alternating Current - Single Phase
POLAR (UK),11584,4,FALSE,TRUE,TRUE,4,Public - Membership Required,Inclusive; for Polar Plus subscription members only,118250,Plaza de Calvo Sotelo 5,Plaza de Calvo Sotelo 5,,Braojos de la Sierra,Madrid,28 737,210,ES,EU,210,Spain,41.039425,-3.642411,,,,,,,0,2,Ayuntamiento Braojos de la Sierra.,,,50,TRUE,TRUE,50,Operational,2019-03-09T06:14:00Z,1,2019-03-09T06:14:00Z,200,TRUE,200,Submission Published,,,166879,25,IEC 62196-2 Type 2,FALSE,FALSE,25,Mennekes (Type 2),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
EasyCharger,,4,FALSE,TRUE,TRUE,4,Public - Membership Required,segun tarifa,118249,Nacex Salamanca,Calle Vertical 4ª,Polígono Industrial El Montalvo,Carbajosa de la Sagrada,Campo de Salamanca,37188,210,ES,EU,210,Spain,40.93811394,-5.656037638,,,,Ubicado en logistica nacex,,,0,8,funciona con app easycharger,,,50,TRUE,TRUE,50,Operational,2019-03-08T21:03:00Z,1,2019-03-08T20:43:00Z,200,TRUE,200,Submission Published,,,166875,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),125,400,50,30,Direct Current
(Unknown Operator),,6,FALSE,FALSE,FALSE,6,"Private - For Staff, Visitors or Customers",,118231,Nissan Divensa Merida,"Polígono Industrial Cepansa, Distrito 6",Polígono Industrial Cepansa,Mérida,Badajoz,,210,ES,EU,210,Spain,38.90448711,-6.364091222,,,,punto de carga chademo en concesionario nissan,,,0,1,uso en horario comercial,,,50,TRUE,TRUE,50,Operational,2019-03-07T19:51:00Z,1,2019-03-07T16:59:00Z,200,TRUE,200,Submission Published,,,166830,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),125,500,50,30,Direct Current
IBIL (Es),,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,118140,Macanaz,Paseo de la Ribera,,Zaragoza,Zaragoza,50015,210,ES,EU,210,Spain,41.66016796,-0.880693402,946 123 123,,ibil@ibil.es,Desde el Puente de Santiago en dirección Norte gire a la derecha y entre en la zona de aparcamiento.,https://www.ibil.es,,0,1,Precisa tarjeta Ibil o APP de Ibil.,,,50,TRUE,TRUE,50,Operational,2019-03-05T22:22:00Z,1,2019-03-02T13:13:00Z,200,TRUE,200,Submission Published,,,166684,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),100,480,50,30,Direct Current
EasyCharger,,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,"0,30",118138,A62 Salida 142,VA-VP-5804,,Tordesillas,Valladolid,47132,210,ES,EU,210,Spain,41.54156079,-4.896484137,979300600,,info@easycharger.es,Salida 142 dirección Villamarciel,http://www.easycharger.es,,0,8,,,,50,TRUE,TRUE,50,Operational,2019-03-02T21:52:00Z,1,2019-03-02T12:06:00Z,200,TRUE,200,Submission Published,,,166678,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),125,400,50,30,Direct Current
(Unknown Operator),,7,FALSE,FALSE,FALSE,7,Public - Notice Required,-,118132,CastellonSuits.com,Plaza del Notario Mas 22,,Castellón de la Plana,Castellón,12001,210,ES,EU,210,Spain,39.9880463,-0.0411383,699307609,,ceo@victornavarro.com,Para clientes del Edificio. Gratis durante 2019. Contactar por telefono para grabar matricula en lectores ,,,0,6,Disponemos de 6 cargadores ,,,50,TRUE,TRUE,50,Operational,2019-03-02T12:22:00Z,1,2019-03-01T16:23:00Z,200,TRUE,200,Submission Published,,,166662,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
(Unknown Operator),,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,,118059,ESSR les Alegries. ,Avinguda de les Alegríes 89-91,Can Roviralta,Lloret de Mar,Girona,17310,210,ES,EU,210,Spain,41.71355847,2.831382838,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-25T10:47:00Z,1,2019-02-24T11:43:00Z,200,TRUE,200,Submission Published,,,166535,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,30,Direct Current
EDP,,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,,118058,Estacion de Servicio Avia,"Calle 8, Poligono Industrial Guadamia",,Ribadesella,Asturias,33549,210,ES,EU,210,Spain,43.43562254,-5.014537794,,,,,http://www.aviaenergias.es/profesionales/estaciones-de-servicio/red-de-estaciones/asturias/ribadesella/adenor-ribadesella,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-25T12:02:00Z,1,2019-02-24T11:30:00Z,200,TRUE,200,Submission Published,,,166532,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,30,Direct Current
(Unknown Operator),,1,,,,1,Public,,118053,Area de Servei Vila-Sana,"Autovia A-2, Km 486",,Vila-sana,Lleida,,210,ES,EU,210,Spain,41.64303673,0.894854871,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-23T22:17:00Z,1,2019-02-23T12:27:00Z,200,TRUE,200,Submission Published,,,166522,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,30,Direct Current
EDP,,1,,,,1,Public,,118052,Avenida de los Picos de Europa,Avenida de los Picos de Europa,,Cangas de Onís,Asturias,33550,210,ES,EU,210,Spain,43.35258395,-5.125326668,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-23T22:17:00Z,1,2019-02-23T11:54:00Z,200,TRUE,200,Submission Published,,,166519,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,30,Direct Current
Iberdrola,,1,,,,1,Public,,117931,"Urartea 23, Vitoria",Urartea 23,,Vitoria,,,210,ES,EU,210,Spain,42.86350872,-2.712359697,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-22T22:07:00Z,1,2019-02-18T21:54:00Z,200,TRUE,200,Submission Published,,,166329,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,,,,,,,,,,,,,50,,
(Unknown Operator),,6,FALSE,FALSE,FALSE,6,"Private - For Staff, Visitors or Customers",gratis,117272,hotel port aventura,Carretera Tarragona - Salou,Cap Salou,Tarragonés,Tarragonés,438040 SALOU,210,ES,EU,210,Spain,41.0839312,1.154808509,,,,Activable con token electromaps o con tarjeta que te dan en recepcion dejando 10€ de fianza.,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-02-15T09:02:00Z,1,2019-02-14T15:52:00Z,200,TRUE,200,Submission Published,,,165512,1036,,FALSE,FALSE,1036,"Mennekes (Type 2, Tethered Connector) ",,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),,,22,20,Alternating Current - Three Phase
POLAR (UK),24580,4,FALSE,TRUE,TRUE,4,Public - Membership Required,£1.20; other tariffs available,117254,BMW Group Geb. 77.0,BMW Group Geb. 77.0,,Max Diamand Straße 9,München,80 937,210,ES,EU,210,Spain,48.191479,11.570391,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-02-14T06:13:00Z,1,2019-02-14T06:13:00Z,200,TRUE,200,Submission Published,,,165489,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,30,Direct Current
Tesla Motors (Worldwide),48787,7,FALSE,FALSE,FALSE,7,Public - Notice Required,,117185,Casino Admiral Sevilla,Obra Casino Admiral,,Tomares,Sevilla,41940,210,ES,EU,210,Spain,37.372215,-6.037036, +34 954 28 76 00,,,,,,0,2,"2 Tesla Connectors, up to 22kW.Available by reservation only. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-02-12T11:44:00Z,1,2019-02-12T11:44:00Z,200,TRUE,200,Submission Published,,,165399,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
Tesla Motors (Worldwide),48786,4,FALSE,TRUE,TRUE,4,Public - Membership Required,,117141,Hotel Ibis Styles Pamplona Noain,Calle Real,,Noain,,31110,210,ES,EU,210,Spain,42.764893,-1.633657, +34 948 31 66 10,,,,,,0,1,"1 Tesla Connector, up to 22kW.Available for customers. Please see front desk.",,,50,TRUE,TRUE,50,Operational,2019-02-12T11:32:00Z,1,2019-02-12T11:32:00Z,200,TRUE,200,Submission Published,,,165350,30,,FALSE,FALSE,30,Tesla (Model S onwards),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
(Unknown Operator),,1,,,,1,Public,,115565,Segorbe,Avenida Fray Luis amigo 14,,Segorbe,Castellon,12400,210,ES,EU,210,Spain,39.8473525,-0.4892091,,,,,,,0,1,,,,50,TRUE,TRUE,50,Operational,2019-03-19T14:03:00Z,1,2019-02-09T00:18:00Z,200,TRUE,200,Submission Published,,,162202,33,,FALSE,FALSE,33,CCS (Type 2 Version of Combined Coupler),,,,,,,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),,,50,,
Fenie Energía (Spain),,1,,,,1,Public,Gratis,115564,Carrer Filà Alcodianos B,Carrer Filà Alcodianos B,Centro,Alicante,Alicante,3804,210,ES,EU,210,Spain,38.71030728,-0.462582799,,,,,,,0,3,,,,50,TRUE,TRUE,50,Operational,2019-02-14T10:23:00Z,1,2019-02-08T23:57:00Z,200,TRUE,200,Submission Published,,,162200,2,,,,2,CHAdeMO,,,,,,,,,,,,,,50,,
(Unknown Operator),,4,FALSE,TRUE,TRUE,4,Public - Membership Required,gratis,115563,Carrer Salvador Espriu,Carrer Salvador Espriu,Sant Pere i Sant Pau,Tarragona,Tarragonès,43007,210,ES,EU,210,Spain,41.12084792,1.271997358,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-02-11T04:30:00Z,1,2019-02-08T21:32:00Z,200,TRUE,200,Submission Published,,,162197,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),125,400,50,30,Direct Current
(Unknown Operator),,1,,,,1,Public,carga gratis se paga ORA,115548,PDR Castelló d'Empuries,Carreró del Palau,,Castellón de Ampurias,Alto Ampurdán,17486,210,ES,EU,210,Spain,42.25807397,3.074293509,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-02-08T10:21:00Z,1,2019-02-07T09:14:00Z,200,TRUE,200,Submission Published,,,162173,25,IEC 62196-2 Type 2,FALSE,FALSE,25,Mennekes (Type 2),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),,,22,20,Alternating Current - Three Phase
(Unknown Operator),,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,"0,33€ kwh",115470,Gasolwin Balones,Ronda Sur,,Valencia,Valencia,46870,210,ES,EU,210,Spain,38.80930453,-0.609188137,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-01-31T10:08:00Z,1,2019-01-30T16:10:00Z,200,TRUE,200,Submission Published,,,162020,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),120,400,50,30,Direct Current
(Unknown Operator),,5,TRUE,FALSE,FALSE,5,Public - Pay At Location,,115469,Gasolwin Textil,Avenida del Textil 78,,Valencia,Valencia,46870,210,ES,EU,210,Spain,38.83029888,-0.575772864,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-01-31T10:10:00Z,1,2019-01-30T16:02:00Z,200,TRUE,200,Submission Published,,,162017,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),120,400,50,30,Direct Current
(Unknown Operator),,1,,,,1,Public,0,115455,CM-220,CM-220,,Cuenca,Cuenca,,210,ES,EU,210,Spain,39.55052514,-1.901957548,,,,,,,0,1,Solo funciona contector trifasico,,,50,TRUE,TRUE,50,Operational,2019-01-30T14:49:00Z,1,2019-01-30T13:11:00Z,200,TRUE,200,Submission Published,,,161992,25,IEC 62196-2 Type 2,FALSE,FALSE,25,Mennekes (Type 2),,50,TRUE,TRUE,50,Operational,2,"Over 2 kW, usually non-domestic socket type",FALSE,2,Level 2 : Medium (Over 2kW),32,400,22,20,Alternating Current - Three Phase
(Unknown Operator),,6,FALSE,FALSE,FALSE,6,"Private - For Staff, Visitors or Customers",gratis para clientes nissan,115423,Avinguda de Roses,Avinguda de Roses,Vilatenim,Alto Ampurdán,Alto Ampurdán,17485,210,ES,EU,210,Spain,42.26761853,2.990076531,,,,,,,0,2,,,,50,TRUE,TRUE,50,Operational,2019-01-28T15:36:00Z,1,2019-01-28T13:17:00Z,200,TRUE,200,Submission Published,,,161923,2,,,,2,CHAdeMO,,50,TRUE,TRUE,50,Operational,3,40KW and Higher,TRUE,3,Level 3:  High (Over 40kW),80,,55,30,Direct Current
